Anio,Periodo,Vehiculo,UnidadesVendidas,MontoTotal,Creditos
2020,1,Toyota Corolla,45,810000,162000
2020,1,Chevrolet Aveo,32,448000,89600
2020,1,Kia Rio,28,392000,78400
2020,1,Hyundai Accent,35,490000,98000
2020,1,Nissan Sentra,22,374000,74800
2020,2,Toyota Corolla,50,900000,180000
2020,2,Chevrolet Aveo,38,532000,106400
2020,2,Kia Rio,30,420000,84000
2020,2,Hyundai Accent,40,560000,112000
2020,2,Nissan Sentra,25,425000,85000
2020,3,Toyota Corolla,42,756000,151200
2020,3,Chevrolet Aveo,29,406000,81200
2020,3,Kia Rio,33,462000,92400
2020,3,Hyundai Accent,37,518000,103600
2020,3,Nissan Sentra,20,340000,68000
2020,4,Toyota Corolla,55,990000,198000
2020,4,Chevrolet Aveo,40,560000,112000
2020,4,Kia Rio,35,490000,98000
2020,4,Hyundai Accent,43,602000,120400
2020,4,Nissan Sentra,30,510000,102000
2021,1,Toyota Corolla,48,864000,172800
2021,1,Chevrolet Aveo,35,490000,98000
2021,1,Kia Rio,31,434000,86800
2021,1,Hyundai Accent,38,532000,106400
2021,1,Nissan Sentra,26,442000,88400
2021,2,Toyota Corolla,52,936000,187200
2021,2,Chevrolet Aveo,41,574000,114800
2021,2,Kia Rio,34,476000,95200
2021,2,Hyundai Accent,44,616000,123200
2021,2,Nissan Sentra,28,476000,95200
2021,3,Toyota Corolla,46,828000,165600
2021,3,Chevrolet Aveo,33,462000,92400
2021,3,Kia Rio,29,406000,81200
2021,3,Hyundai Accent,36,504000,100800
2021,3,Nissan Sentra,23,391000,78200
2021,4,Toyota Corolla,58,1044000,208800
2021,4,Chevrolet Aveo,44,616000,123200
2021,4,Kia Rio,37,518000,103600
2021,4,Hyundai Accent,47,658000,131600
2021,4,Nissan Sentra,32,544000,108800
2022,1,Toyota Corolla,51,918000,183600
2022,1,Chevrolet Aveo,37,518000,103600
2022,1,Kia Rio,33,462000,92400
2022,1,Hyundai Accent,41,574000,114800
2022,1,Nissan Sentra,27,459000,91800
2022,2,Toyota Corolla,56,1008000,201600
2022,2,Chevrolet Aveo,43,602000,120400
2022,2,Kia Rio,36,504000,100800
2022,2,Hyundai Accent,48,672000,134400
2022,2,Nissan Sentra,31,527000,105400
2022,3,Toyota Corolla,49,882000,176400
2022,3,Chevrolet Aveo,36,504000,100800
2022,3,Kia Rio,31,434000,86800
2022,3,Hyundai Accent,39,546000,109200
2022,3,Nissan Sentra,25,425000,85000
2022,4,Toyota Corolla,60,1080000,216000
2022,4,Chevrolet Aveo,46,644000,128800
2022,4,Kia Rio,39,546000,109200
2022,4,Hyundai Accent,50,700000,140000
2022,4,Nissan Sentra,34,578000,115600
2023,1,Toyota Corolla,53,954000,190800
2023,1,Chevrolet Aveo,39,546000,109200
2023,1,Kia Rio,35,490000,98000
2023,1,Hyundai Accent,43,602000,120400
2023,1,Nissan Sentra,29,493000,98600
2023,2,Toyota Corolla,58,1044000,208800
2023,2,Chevrolet Aveo,45,630000,126000
2023,2,Kia Rio,38,532000,106400
2023,2,Hyundai Accent,50,700000,140000
2023,2,Nissan Sentra,33,561000,112200
2023,3,Toyota Corolla,50,900000,180000
2023,3,Chevrolet Aveo,37,518000,103600
2023,3,Kia Rio,32,448000,89600
2023,3,Hyundai Accent,41,574000,114800
2023,3,Nissan Sentra,27,459000,91800
2023,4,Toyota Corolla,62,1116000,223200
2023,4,Chevrolet Aveo,48,672000,134400
2023,4,Kia Rio,41,574000,114800
2023,4,Hyundai Accent,53,742000,148400
2023,4,Nissan Sentra,36,612000,122400
2024,1,Toyota Corolla,55,990000,198000
2024,1,Chevrolet Aveo,42,588000,117600
2024,1,Kia Rio,37,518000,103600
2024,1,Hyundai Accent,46,644000,128800
2024,1,Nissan Sentra,31,527000,105400
2024,2,Toyota Corolla,61,1098000,219600
2024,2,Chevrolet Aveo,47,658000,131600
2024,2,Kia Rio,40,560000,112000
2024,2,Hyundai Accent,52,728000,145600
2024,2,Nissan Sentra,35,595000,119000
2024,3,Toyota Corolla,52,936000,187200
2024,3,Chevrolet Aveo,39,546000,109200
2024,3,Kia Rio,34,476000,95200
2024,3,Hyundai Accent,44,616000,123200
2024,3,Nissan Sentra,29,493000,98600
2024,4,Toyota Corolla,65,1170000,234000
2024,4,Chevrolet Aveo,50,700000,140000
2024,4,Kia Rio,43,602000,120400
2024,4,Hyundai Accent,55,770000,154000
2024,4,Nissan Sentra,38,646000,129200
2025,1,Toyota Corolla,58,1044000,208800
2025,1,Chevrolet Aveo,44,616000,123200
2025,1,Kia Rio,39,546000,109200
2025,1,Hyundai Accent,48,672000,134400
2025,1,Nissan Sentra,33,561000,112200
2025,2,Toyota Corolla,63,1134000,226800
2025,2,Chevrolet Aveo,49,686000,137200
2025,2,Kia Rio,42,588000,117600
2025,2,Hyundai Accent,54,756000,151200
2025,2,Nissan Sentra,37,629000,125800
